Date,Close
2025-03-06,97.51
2025-03-07,95.47
2025-03-10,95.7
2025-03-11,96.2
2025-03-12,101.23
2025-03-13,105.16
2025-03-14,103.44
2025-03-17,102.91
2025-03-18,100.0
2025-03-19,98.89
2025-03-20,99.57
2025-03-21,102.07
2025-03-24,100.65
2025-03-25,99.4
2025-03-26,95.28
2025-03-27,95.03
2025-03-28,93.09
2025-03-31,92.16
2025-04-01,90.61
2025-04-02,90.5
2025-04-03,87.42
2025-04-04,84.95
2025-04-07,88.69
2025-04-08,86.49
2025-04-09,84.67
2025-04-10,87.89
2025-04-11,93.2
2025-04-14,91.1
2025-04-15,90.48
2025-04-16,91.16
2025-04-17,94.42
2025-04-18,92.63
2025-04-21,92.23
2025-04-22,93.73
2025-04-23,94.61
2025-04-24,93.96
2025-04-25,93.76
2025-04-28,91.27
2025-04-29,90.89
2025-04-30,90.47
2025-05-01,90.94
2025-05-02,89.99
2025-05-05,90.9
2025-05-06,92.81
2025-05-07,93.16
2025-05-08,93.87
2025-05-09,94.03
2025-05-12,94.09
2025-05-13,92.79
2025-05-14,93.44
2025-05-15,93.31
2025-05-16,97.36
2025-05-19,100.53
2025-05-20,101.37
2025-05-21,99.9
2025-05-22,97.76
2025-05-23,100.17
2025-05-26,100.76
2025-05-27,101.8
2025-05-28,98.36
2025-05-29,100.27
2025-05-30,101.24
2025-06-02,99.08
2025-06-03,98.21
2025-06-04,98.79
2025-06-05,98.95
2025-06-06,98.43
2025-06-09,98.29
2025-06-10,97.85
2025-06-11,98.21
2025-06-12,101.2
2025-06-13,96.2
2025-06-16,95.8
2025-06-17,96.2
2025-06-18,96.83
2025-06-19,96.17
2025-06-20,92.9
2025-06-23,93.57
2025-06-24,96.92
2025-06-25,94.04
2025-06-26,95.74
2025-06-27,95.17
2025-06-30,95.11
2025-07-01,93.19
2025-07-02,92.62
2025-07-03,95.12
2025-07-04,96.29
2025-07-07,99.74
2025-07-08,102.18
2025-07-09,103.14
2025-07-10,106.87
2025-07-11,107.88
2025-07-14,109.74
2025-07-15,109.16
2025-07-16,109.37
2025-07-17,107.92
2025-07-18,110.14
2025-07-21,107.64
2025-07-22,109.41
2025-07-23,109.06
2025-07-24,111.71
2025-07-25,113.47
2025-07-28,117.74
2025-07-29,119.55
2025-07-30,115.92
2025-07-31,115.83
2025-08-01,113.22
2025-08-04,112.12
2025-08-05,115.63
2025-08-06,117.18
2025-08-07,115.62
2025-08-08,113.37
2025-08-11,113.51
2025-08-12,110.85
2025-08-13,109.44
2025-08-14,110.19
2025-08-15,112.83
2025-08-18,114.28
2025-08-19,109.23
2025-08-20,109.96
2025-08-21,110.19
2025-08-22,111.17
2025-08-25,114.89
2025-08-26,110.31
2025-08-27,109.08
2025-08-28,110.45
2025-08-29,107.07
2025-09-01,110.34
2025-09-02,111.23
2025-09-03,113.19
2025-09-04,111.98
2025-09-05,113.88
2025-09-08,116.41
2025-09-09,117.03
2025-09-10,117.65
2025-09-11,118.35
2025-09-12,116.4
2025-09-15,116.13
2025-09-16,115.84
2025-09-17,116.8
2025-09-18,119.23
2025-09-19,116.81
2025-09-22,116.58
2025-09-23,120.16
2025-09-24,118.46
2025-09-25,116.6
2025-09-26,117.14
2025-09-29,119.21
2025-09-30,119.31
2025-10-01,122.59
2025-10-02,124.79
2025-10-03,126.98
2025-10-06,128.47
2025-10-07,134.68
2025-10-08,134.21
2025-10-09,129.01
2025-10-10,133.3
2025-10-13,132.16
2025-10-14,132.53
2025-10-15,136.13
2025-10-16,131.91
2025-10-17,128.73
2025-10-20,124.75
2025-10-21,122.85
2025-10-22,124.01
2025-10-23,125.4
2025-10-24,126.17
2025-10-27,122.72
2025-10-28,117.25
2025-10-29,117.45
2025-10-30,116.42
2025-10-31,117.56
2025-11-03,119.3
2025-11-04,119.7
2025-11-05,121.61
2025-11-06,122.24
2025-11-07,123.61
2025-11-10,121.96
